34hpp;O=C(O)C(=O)Cc1ccc(O)cc1;MNXM153
3c2hmp;CC(C)C(C(=O)O)C(O)C(=O)O;MNXM891
3c3hmp;CC(C)C(O)(CC(=O)O)C(=O)O;MNXM985
3c4mop;CC(C)C(C(=O)O)C(=O)C(=O)O;MNXM1602
3dhq;O=C1CC(O)(C(=O)O)CC(O)C1O;MNXM478
3dhsk;O=C(O)C1CC(=O)C(O)C(=O)C1;MNXM611
3hbcoa;CC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O;MNXM1034
3hdcoa;CCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O;MNXM674
3hddcoa;CCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O;MNXM733
3hhcoa;CCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O;MNXM757
3hhdcoa;;
3hocoa;CCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O;MNXM766
3hodcoa;;
3htdcoa;CCCCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O;MNXM767
3ig3p;O=P(O)(O)OCC(O)C(O)c1c[nH]c2ccccc12;MNXM866
3mob;CC(C)C(=O)C(=O)O;MNXM238
3mop;CCC(C)C(=O)C(=O)O;MNXM439
3odcoa;CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O;MNXM677
3oddcoa;CCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O;MNXM705
3ohcoa;CCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O;MNXM717
3ohdcoa;;
3oocoa;CCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O;MNXM706
3oodcoa;;
3ophb;CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cc(C(=O)O)ccc1O;MNXM2195
3otdcoa;CCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O;MNXM707
3pg;O=C(O)C(O)COP(=O)(O)O;MNXM126
3php;O=C(O)C(=O)COP(=O)(O)O;MNXM541
3psme;C=C(OC1CC(C(=O)O)=CC(OP(=O)(O)O)C1O)C(=O)O;MNXM1365
4abut;NCCCC(=O)O;MNXM192
4abutn;NCCCC=O;MNXM422
4abz;Nc1ccc(C(=O)O)cc1;MNXM421
4adcho;C=C(OC1C=C(C(=O)O)C=CC1N)C(=O)O;MNXM1458
4ampm;Cc1ncc(COP(=O)(O)O)c(N)n1;MNXM790
4c2me;CC(O)(CO)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O;MNXM1642
4hbz;O=C(O)c1ccc(O)cc1;MNXM164
4hthr;NC(C(=O)O)C(O)CO;MNXM1802
4mop;CC(C)CC(=O)C(=O)O;MNXM404
4mpetz;Cc1ncsc1CCOP(=O)(O)O;MNXM960
4pasp;NC(CC(=O)OP(=O)(O)O)C(=O)O;MNXM1177
4per;O=C(O)C(O)C(O)COP(=O)(O)O;MNXM1407
4ppan;CC(C)(COP(=O)(O)O)C(O)C(=O)NCCC(=O)O;MNXM415
4ppcys;CC(C)(COP(=O)(O)O)C(O)C(=O)NCCC(=O)NC(CS)C(=O)O;MNXM483
4r5au;Nc1c(NCC(O)C(O)C(O)CO)[nH]c(=O)[nH]c1=O;MNXM791
5aizc;Nc1c(C(=O)O)ncn1C1OC(COP(=O)(O)O)C(O)C1O;MNXM507
5aop;NCC(=O)CCC(=O)O;MNXM405
5aprbu;Nc1c(NCC(O)C(O)C(O)COP(=O)(O)O)[nH]c(=O)[nH]c1=O;MNXM1178
5apru;Nc1c(NC2OC(COP(=O)(O)O)C(O)C2O)[nH]c(=O)[nH]c1=O;MNXM1532
5caiz;;
